transaction_id,customer_id,product,amount,date
87758772-cb82-40d7-a14e-43c63cf11b62,5add02b5-cdf1-4c6d-b401-6308b4c203b0,Keyboard,1498.62,2024-05-05
4225d07a-f0f4-4a60-a44c-0771976a9088,2855ab5e-8171-43f4-84ba-cbbc78b37aa6,Smartphone,578.13,2024-02-09
22c4382f-b5b2-40c9-bbcd-f5f45abb8152,5b50e421-9a48-424e-8eaa-532f81f59c40,Keyboard,657.21,2024-09-01
2bcbbd01-9dfb-4149-9b91-91e27d54ced6,3fa07119-afdf-4d3d-8d7e-18c93d8734f2,Keyboard,1467.15,2024-07-20
ba643197-58e1-47b1-9a61-d59a68498b5a,2ecfc8ab-96a6-474f-a420-6af195a2afdb,Keyboard,269.56,2024-10-23
9427cdec-d6b5-4d1b-b814-3e710f5aeff9,034be3fa-1e7b-4fe2-9f66-aa935a344a1a,Mouse,119.98,2024-01-20
dc7fde5e-f496-4d99-acf5-bce03077aa9d,a72760da-4bd9-44a3-849c-a976b2e82c8c,Smartphone,353.89,2024-09-19
4ebd47fa-064d-44d8-82b7-c27d9b4f1094,fdceaece-cdf0-4b18-9eb0-8a53e125aa95,Keyboard,945.99,2024-05-03
0205f92e-214f-41d1-933c-74fa761f6ba4,d92417f9-5c02-41fa-9009-dd4a9da1057b,Smartphone,584.08,2024-01-28
ebe18c50-05a9-4fe7-b398-e78bdff26a24,3b589fd3-4986-4dd0-84ab-7205aab550d8,Laptop,1463.15,2024-05-31
91c481b8-881e-46ae-8704-3911ec0cca34,c5a52b5c-4c30-470d-b04d-d923fa7cadb1,Smartphone,788.66,2024-01-06
cc62305c-2f1e-44a5-a409-7c11338950af,596d95cf-9e89-4bbf-b86b-aa2a7fcf4b9c,Smartphone,840.22,2024-02-20
1b5861bf-8402-4f37-a47f-95d5d4706a09,48583f07-e6e9-41a0-9c81-f85d66f8709c,Smartphone,119.58,2024-07-03
f61dd8af-3fa9-4e51-99c7-8411c535201e,aa568958-24c5-4441-b3d7-011b256c72b0,Headphones,1261.03,2024-05-19
4becddb6-237b-4f56-965b-092524864d9d,b8605faa-67b5-4bc9-8bda-899ecd1b28d6,Smartphone,864.59,2024-08-16
71d3d848-934c-4ffb-88c7-0a82039910ab,0deda1e0-40f8-4f0c-9b00-ba66628eb7f8,Smartphone,1224.92,2024-11-02
d2962bed-432d-4098-bec7-062b8b9166df,068f30e0-fab5-4a36-9990-508a9aa537b3,Laptop,1014.65,2024-09-13
19b2bfa5-1923-4042-a15c-da976eb0c1ac,d822ddfd-cff1-4775-95c6-d2f1a6a14bb8,Laptop,1462.81,2024-04-30
